label,bin_time_s,naive_time_s,naive_cv_pct,naive_stable,naive_mem_kb,naive_D,naive_R2,opt_time_s,opt_total_time_s,opt_cv_pct,opt_stable,opt_mem_kb,opt_D,opt_R2,threshold_sensitivity,method,naive_lacunarity,opt_lacunarity
benign,0.001525099999980739,2.6950255985555285,0.5277179337269007,,0.3359375,-1.9882569008198054,0.9999945418335704,0.046228486111153363,0.0477535861111341,3.831022559629472,,5376.615234375,-1.9882569008198054,0.9999945418335704,0.007505723655090613,GB,1.5326277634362848,1.5326277634362848
benign,0.0014858600000025035,2.7111805684444334,0.5938039350805752,,0.3359375,-2.000617649618748,0.9999999871104222,0.04767691477779105,0.04916277477779355,4.491340379450794,,5376.5654296875,-2.000617649618748,0.9999999871104222,0.0007130495894993594,GB,0.30357631577511696,0.30357631577511696
benign,0.0015371000000072854,2.701017087444446,0.4932118011487122,,0.3359375,-2.0012478815703254,0.9999999815217605,0.04623574186206465,0.04777284186207194,7.281680321056015,,5376.615234375,-2.0012478815703254,0.9999999815217605,0.0028185213840257184,GB,0.47964559693020964,0.47964559693020964
benign,0.0015470690000256582,2.7024296005555595,0.5476934875195253,,0.3359375,-1.9952362542134208,0.9999981249288606,0.04573554258620099,0.047282611586226646,8.36664652485904,,5376.615234375,-1.9952362542134208,0.9999981249288606,0.0040117244289354925,GB,0.2646937409072821,0.2646937409072821
benign,0.0015161110000008193,2.686688756777787,0.981036429589823,,0.3359375,-1.9998296834816476,0.999999954378188,0.042896164111097174,0.04441227511109799,3.009721875782964,,5376.5654296875,-1.9998296834816476,0.999999954378188,0.0038354534971449805,GB,0.22972977890635937,0.22972977890635937
benign,0.0015720910000140975,2.6917511608888214,0.6457934630542135,,0.3359375,-1.996414395903336,0.9999988542464824,0.04450786877775196,0.04607995977776606,3.876771072238598,,5376.615234375,-1.996414395903336,0.9999988542464824,0.0038277829144823805,GB,0.19055325647565224,0.19055325647565224
benign,0.001801170000021557,2.6971804362221974,0.7821391012264631,,0.3359375,-1.9894532096645374,0.9999943667728709,0.04601103762067772,0.04781220762069928,5.947122830048255,,5376.615234375,-1.9894532096645374,0.9999943667728709,0.003983557308374408,GB,0.32053117340174736,0.32053117340174736
benign,0.0015886400000226786,2.7388834792222445,0.833214810399761,,0.3359375,-1.9962332479403886,0.9999989764884422,0.045544151888937755,0.04713279188896043,4.033315648895795,,5376.5654296875,-1.9962332479403886,0.9999989764884422,0.0013629482036630058,GB,0.39743515275685665,0.39743515275685665
benign,0.0016587700000059158,2.6874865332222524,0.418375393074601,,0.3359375,-2.001372211228794,0.9999998962798489,0.044754884333315204,0.04641365433332112,2.0773696697522284,,5376.615234375,-2.001372211228794,0.9999998962798489,0.0014015048808448949,GB,0.3527980429344806,0.3527980429344806
benign,0.0016713100000060876,2.6902555853333374,0.4138327226552164,,0.3359375,-1.9935733567526825,0.9999975092395237,0.04482485579307712,0.04649616579308321,6.962663052404437,,5376.615234375,-1.9935733567526825,0.9999975092395237,0.0011871446871325464,GB,0.23508474899632945,0.23508474899632945
benign,0.0016679599999633865,2.709544892000041,0.8311101186952824,,0.3359375,-1.9951651195136517,0.999998840290551,0.04575001311109696,0.047417973111060344,4.957749846311404,,5376.5654296875,-1.9951651195136517,0.999998840290551,0.003333047547137369,GB,0.1370957267333918,0.1370957267333918
benign,0.001627789999986362,2.768600833555562,0.7439231981946971,,0.3359375,-1.9990459486872367,0.9999999410817504,0.04586100077777802,0.047488790777764384,4.5130384792992935,,5376.5654296875,-1.9990459486872367,0.9999999410817504,9.92119859855034e-05,GB,0.29603587341627535,0.29603587341627535
benign,0.0015244599999846287,2.702547505222204,0.5405950419368992,,0.3359375,-1.9955031315576943,0.9999971122733271,0.045218009555532665,0.046742469555517294,2.087430128386227,,5376.5654296875,-1.9955031315576943,0.9999971122733271,0.0026005670238076206,GB,0.3102257793550785,0.3102257793550785
benign,0.0015070899999614085,2.7247069597777784,0.9518068940645958,,0.3359375,-1.9987142415325148,0.9999999489711133,0.04996865941379367,0.05147574941375508,10.559529480190353,,5376.5654296875,-1.9987142415325148,0.9999999489711133,0.003459676114664134,GB,0.17124886167444006,0.17124886167444006
benign,0.0014734499999917716,2.7796951573333093,0.9661584466288629,,0.3359375,-1.9932556434202937,0.9999984382960097,0.04892010875861506,0.05039355875860683,7.121621542611467,,5376.615234375,-1.9932556434202937,0.9999984382960097,0.003718577425925629,GB,0.4066623623783044,0.4066623623783044
benign,0.001540809999994508,2.737848383777772,0.9879908814953082,,0.3359375,-1.997276933501636,0.9999991004224669,0.04442862244445678,0.045969432444451286,4.062932997980149,,5376.5654296875,-1.997276933501636,0.9999991004224669,0.0015952824385272457,GB,0.4688492694416868,0.4688492694416868
